,Node,count,closeness,betweenness
0,game,603578,0.5073998017278006,0.05624258180657932
1,play,243773,0.48319228564685257,0.028063219583944737
2,good,141240,0.4721288792251433,0.02343599028221531
3,roblox,132408,0.4769686480729548,0.022647774007776053
4,love,129949,0.46827212129133444,0.01905244746322997
5,fun,128391,0.4623350646836791,0.016498238186761296
6,get,107084,0.4725959635931935,0.020843466277219492
7,friend,86999,0.45339787395596054,0.010336194273603484
8,make,85855,0.46336652871184686,0.0160599314347654
9,robux,62202,0.45080213903743316,0.008123628856575828
10,please,59990,0.4533261632872552,0.00975035309533417
11,fix,58155,0.44846038302666164,0.008186800878718058
12,lot,57730,0.45000942033536395,0.009060609637515404
13,people,50922,0.451725768321513,0.009124892663179222
14,great,49973,0.4462261800971478,0.008632374973884693
15,thing,48046,0.4489521004981047,0.008910432402285003
16,many,48035,0.4452833706189411,0.007580109887911965
17,amazing,46057,0.4465738057399271,0.007652449130686577
18,say,43977,0.45054703219315895,0.009069591040838343
19,star,41923,0.4463234607119499,0.00739835642065344
20,time,39644,0.4479277364505845,0.008819613958716235
21,give,39336,0.4481238273921201,0.0077456671442960034
22,much,39113,0.4486850344395742,0.006987251196730085
23,update,37014,0.44345081536033665,0.005845940895981882
24,problem,34603,0.4430532368762753,0.005564582358950155
25,try,34089,0.4446478436239528,0.006267617872579647
26,want,31712,0.4458652230726153,0.007435668041119191
27,work,29343,0.44286155747836836,0.005270013798007702
28,think,29003,0.44531104344043254,0.0065679630149707065
29,cool,27008,0.44431698393997643,0.005068680730103435
30,lag,26422,0.4406420071949082,0.003565673625190033
31,new,25606,0.44038473357507224,0.004709863674633361
32,account,25356,0.44349198489818653,0.004135341019935894
33,need,25219,0.4428205048975682,0.00550011327392641
34,keep,24283,0.4406284589841348,0.0043053178817006165
35,bug,21919,0.4387801965647102,0.002906402684236734
36,glitch,21833,0.4423011635443351,0.0035862391429121866
37,bad,21783,0.4429299953639314,0.005073490847159906
38,thank,21358,0.4429984544049459,0.0050382715993041675
39,year,21238,0.44405540234871255,0.005100015021946139
40,recommend,21219,0.43852509179926563,0.003829803354558336
41,phone,21076,0.44373916274461234,0.004173290046711492
42,free,20483,0.44206922080325745,0.0034347496825498833
43,let,19934,0.43864589391203207,0.0038164387216164507
